YEAR,Actual Rainfall: JUN,Actual Rainfall: JUL,Actual Rainfall: AUG,Actual Rainfall: SEPT,Actual Rainfall: JUN-SEPT,Departure Percentage: JUN,Departure Percentage: JUL,Departure Percentage: AUG,Departure Percentage: SEP,Departure Percentage: JUN-SEPT,,,,,
1901,99.3,295.4,354.8,113.8,863.3,-39.6,-16.0,26.4,-38.5,-12.1,,,,,
1902,62.3,334.2,237.6,216.0,850.0,-62.4,-4.8,-15.1,16.8,-13.4,,,,,
1903,96.2,392.7,286.6,211.5,987.1,-42.7,11.0,2.1,13.1,-0.3,,,,,
1904,180.5,259.1,200.9,165.8,806.3,7.5,-26.4,-28.1,-11.2,-18.2,,,,,
1905,59.8,340.6,178.9,204.1,783.4,-64.4,-3.2,-36.0,9.5,-20.5,,,,,
1906,221.9,361.9,234.0,192.1,1009.9,30.2,2.3,-15.9,3.7,2.2,,,,,
1907,151.9,270.1,407.0,77.1,906.0,-9.6,-22.6,46.1,-58.2,-7.5,,,,,
1908,148.6,401.3,384.4,136.7,1071.0,-11.7,15.0,38.0,-25.9,9.2,,,,,
1909,210.4,375.3,197.5,162.7,946.0,25.3,7.9,-28.9,-11.7,-3.3,,,,,
1910,243.4,255.6,326.7,228.6,1054.3,44.5,-26.8,17.2,23.7,7.5,,,,,
1911,213.0,159.5,267.5,169.0,809.0,26.3,-54.2,-3.9,-8.5,-17.5,,,,,
1912,92.3,426.1,310.1,121.9,950.4,-45.2,22.0,11.3,-34.0,-3.1,,,,,
1913,256.0,354.5,222.0,106.4,938.8,51.7,1.4,-20.4,-42.5,-4.4,,,,,
1914,210.9,410.9,242.6,255.4,1119.9,24.7,17.2,-13.2,38.0,13.8,,,,,
1915,171.3,257.0,231.6,184.8,844.8,1.2,-26.8,-17.3,-0.2,-14.3,,,,,
1916,236.7,270.0,352.4,218.5,1077.5,38.6,-23.2,25.6,17.9,9.0,,,,,
1917,234.9,302.5,353.0,284.2,1174.7,38.8,-14.0,25.9,53.4,19.1,,,,,
1918,199.7,157.0,238.8,84.4,679.9,18.1,-55.4,-15.0,-54.4,-31.1,,,,,
1919,227.4,344.0,424.1,124.2,1119.7,34.3,-2.6,50.6,-33.0,13.2,,,,,
1920,147.3,338.5,176.2,98.1,760.1,-13.0,-4.2,-37.4,-47.1,-23.2,,,,,
1921,189.2,319.0,248.4,243.3,999.8,11.6,-9.8,-11.7,31.2,1.0,,,,,
1922,180.8,355.2,177.6,241.0,954.6,6.9,0.5,-37.0,30.0,-3.6,,,,,
1923,43.6,398.8,299.5,192.4,934.3,-74.2,13.3,6.4,3.9,-5.4,,,,,
1924,77.4,304.7,285.9,215.0,883.0,-54.4,-14.3,1.1,15.7,-11.1,,,,,
1925,250.9,331.4,244.6,112.9,939.8,47.6,-6.0,-13.7,-39.4,-5.3,,,,,
1926,51.4,327.7,465.0,271.3,1115.3,-69.8,-8.0,64.0,45.7,12.0,,,,,
1927,182.3,456.1,260.2,132.1,1030.7,7.0,26.6,-8.4,-29.3,2.9,,,,,
1928,163.5,414.3,227.6,157.1,962.4,-4.1,14.9,-19.9,-16.0,-4.0,,,,,
1929,164.9,377.4,254.8,133.2,930.3,-3.2,4.9,-10.1,-28.8,-7.0,,,,,
1930,191.3,377.1,201.4,199.5,969.3,13.3,5.0,-28.9,6.8,-2.9,,,,,
1931,84.3,339.4,415.1,199.6,1038.4,-50.4,-5.9,46.7,6.7,3.8,,,,,
1932,99.1,492.0,189.9,217.2,998.2,-41.6,36.4,-32.9,16.5,-0.2,,,,,
1933,218.6,331.0,371.9,281.2,1202.7,28.9,-8.3,31.2,50.7,20.2,,,,,
1934,217.1,308.3,380.5,250.8,1156.7,26.9,-15.4,33.3,34.0,14.7,,,,,
1935,137.0,447.5,196.4,207.1,988.0,-19.8,23.0,-31.1,10.6,-1.9,,,,,
1936,303.7,260.8,259.1,202.3,1025.9,78.2,-28.4,-9.1,8.1,1.9,,,,,
1937,208.2,468.3,192.7,227.4,1096.6,21.9,28.4,-32.6,21.5,8.7,,,,,
1938,303.5,345.8,255.8,149.2,1054.3,77.3,-5.1,-10.4,-20.3,4.6,,,,,
1939,128.8,337.5,338.9,134.2,939.3,-24.7,-7.5,18.7,-28.3,-6.8,,,,,
1940,212.5,413.7,335.7,99.0,1060.8,23.8,12.6,18.6,-46.9,5.2,,,,,
1941,129.7,332.5,227.6,116.7,806.4,-24.8,-7.0,-19.4,-37.3,-19.2,,,,,
1942,168.4,477.6,325.4,194.4,1165.8,-2.2,34.2,15.6,4.6,17.1,,,,,
1943,166.4,420.8,214.9,247.8,1050.0,-3.0,18.5,-23.4,33.4,5.7,,,,,
1944,114.5,523.8,382.6,134.1,1155.0,-32.8,45.0,35.2,-27.9,15.4,,,,,
1945,187.3,413.1,260.8,254.8,1116.0,10.1,14.9,-7.7,37.2,11.9,,,,,
1946,262.3,354.2,383.7,143.2,1143.4,54.7,-2.0,35.3,-22.5,14.4,,,,,
1947,97.0,348.9,372.4,234.0,1052.2,-43.0,-3.9,30.9,26.8,5.0,,,,,
1948,163.0,311.2,295.2,193.1,962.4,-5.0,-13.3,3.4,3.4,-4.0,,,,,
1949,126.8,333.2,247.8,291.9,999.8,-25.6,-8.1,-12.7,58.0,-0.2,,,,,
1950,95.1,443.7,211.3,205.4,955.5,-44.1,23.1,-25.8,9.6,-4.7,,,,,
1951,134.3,292.4,264.7,106.9,798.3,-21.2,-18.5,-6.7,-43.2,-20.2,,,,,
1952,167.2,363.7,259.4,127.1,917.4,-0.8,1.1,-8.1,-32.3,-8.1,,,,,
1953,144.7,318.4,396.2,149.6,1008.9,-14.2,-10.9,40.6,-19.0,1.7,,,,,
1954,132.0,337.2,252.5,360.7,1082.3,-21.6,-5.7,-9.9,92.9,9.0,,,,,
1955,206.4,244.3,392.4,292.2,1135.4,22.4,-32.3,38.7,56.6,13.7,,,,,
1956,198.4,439.6,309.6,194.3,1141.9,18.1,23.1,9.4,3.9,14.7,,,,,
1957,130.9,309.2,323.8,102.5,866.4,-22.4,-14.1,14.4,-45.3,-13.3,,,,,
1958,119.2,413.6,314.9,272.7,1120.3,-28.5,15.6,11.0,46.1,12.6,,,,,
1959,143.4,459.8,315.0,289.0,1207.2,-13.8,30.9,12.9,56.0,23.0,,,,,
1960,180.2,319.4,334.4,131.4,965.4,8.0,-9.6,18.7,-28.9,-2.2,,,,,
1961,197.4,418.3,312.2,366.3,1294.1,10.5,24.7,12.7,105.1,33.5,,,,,
1962,82.7,329.1,230.8,239.4,881.9,-54.6,-3.4,-15.3,33.1,-9.5,,,,,
1963,140.0,292.8,376.8,192.8,1002.3,-16.8,-18.8,33.2,2.9,0.3,,,,,
1964,172.6,344.8,382.5,195.1,1095.0,2.2,-4.0,34.7,4.5,9.6,,,,,
1965,89.4,349.0,194.4,131.8,764.6,-46.7,-2.6,-31.7,-27.6,-23.0,,,,,
1966,154.0,317.2,169.8,145.9,786.9,-7.1,-11.7,-40.1,-22.0,-20.9,,,,,
1967,171.4,381.5,301.2,172.0,1026.1,2.1,5.0,5.4,-7.6,2.3,,,,,
1968,119.2,330.8,254.7,155.7,860.4,-29.4,-7.7,-9.9,-17.1,-13.8,,,,,
1969,114.5,410.5,277.0,220.8,1022.8,-30.4,13.9,-2.4,18.6,2.8,,,,,
1970,256.5,280.6,410.4,228.5,1176.0,54.9,-21.5,43.9,20.9,17.9,,,,,
1971,254.6,299.9,281.3,162.8,998.4,51.5,-16.5,-1.4,-14.7,-0.4,,,,,
1972,116.0,216.9,297.2,124.9,754.9,-30.9,-39.7,5.0,-33.8,-24.5,,,,,
1973,98.2,394.0,365.1,227.5,1084.8,-39.5,14.0,30.0,21.1,11.1,,,,,
1974,90.2,227.2,285.9,99.9,703.2,-44.8,-34.5,2.5,-46.7,-28.0,,,,,
1975,188.8,289.9,368.7,248.0,1095.3,12.5,-17.4,30.3,31.5,10.6,,,,,
1976,157.5,350.4,346.5,143.3,997.7,-2.9,2.0,24.7,-24.3,2.6,,,,,
1977,194.3,323.1,287.0,177.3,981.8,21.8,-2.9,5.2,-5.1,3.1,,,,,
1978,211.4,289.8,344.1,125.4,970.7,36.1,-14.6,23.9,-34.6,0.7,,,,,
1979,157.7,204.5,310.8,111.0,783.9,1.6,-38.6,13.6,-42.4,-17.9,,,,,
1980,286.8,285.7,296.8,155.2,1024.5,78.8,-16.9,7.5,-17.5,5.8,,,,,
1981,149.8,290.2,294.2,215.7,949.9,-5.2,-15.4,5.5,11.8,-2.3,,,,,
1982,116.7,254.0,360.5,116.1,847.3,-25.2,-26.2,28.5,-39.6,-12.9,,,,,
1983,154.8,307.8,376.7,285.2,1124.5,-1.2,-9.6,35.3,49.1,16.3,,,,,
1984,144.4,256.1,350.6,104.6,855.6,-5.8,-25.3,25.2,-45.1,-11.5,,,,,
1985,143.4,277.3,290.6,155.9,867.2,-8.0,-19.7,4.4,-19.0,-10.8,,,,,
1986,237.0,271.7,227.9,85.9,822.4,52.4,-20.6,-18.3,-55.0,-15.0,,,,,
1987,103.3,209.4,259.7,111.2,683.6,-33.0,-37.7,-8.3,-42.8,-29.4,,,,,
1988,174.8,397.2,270.2,223.4,1065.6,13.8,18.2,-3.1,17.8,11.2,,,,,
1989,216.0,264.1,289.7,136.1,906.0,41.0,-20.0,3.4,-29.2,-5.2,,,,,
1990,215.2,285.9,373.5,237.5,1112.1,27.9,-18.9,27.4,14.9,9.0,,,,,
1991,164.7,398.1,299.8,53.9,916.5,-2.4,10.6,0.9,-71.8,-9.9,,,,,
1992,132.3,273.0,380.8,169.3,955.4,-20.1,-23.8,29.5,-14.4,-5.9,,,,,
1993,157.5,355.4,234.7,322.3,1069.8,-4.8,-1.1,-20.1,66.3,5.7,,,,,
1994,281.6,477.5,383.3,207.1,1349.4,68.7,33.1,30.8,6.4,33.2,,,,,
1995,88.7,369.1,236.6,173.2,867.6,-46.5,2.8,-20.0,-9.8,-14.3,,,,,
1996,135.6,346.0,305.4,147.0,933.9,-19.2,-2.7,4.4,-24.4,-7.6,,,,,
1997,185.0,327.2,330.5,151.3,994.1,10.4,-6.9,11.2,-19.7,-1.0,,,,,
1998,145.2,287.9,236.4,267.7,937.2,-12.8,-18.3,-15.4,42.5,-5.0,,,,,
1999,193.4,280.4,217.9,252.6,944.3,16.1,-20.4,-27.2,34.0,-6.2,,,,,
2000,161.7,334.0,212.5,82.0,790.3,-3.5,-5.3,-29.1,-56.6,-21.7,,,,,
2001,253.4,361.3,266.5,74.0,955.1,50.6,3.8,-10.9,-60.8,-4.9,,,,,
2002,228.7,91.8,349.8,158.9,829.2,40.5,-72.8,13.2,-15.4,-16.9,,,,,
2003,186.2,382.9,315.9,211.7,1096.6,11.9,11.4,0.7,11.9,8.3,,,,,
2004,177.4,250.5,349.8,111.3,889.1,9.4,-25.3,13.0,-40.7,-10.6,,,,,
2005,194.6,415.0,217.5,270.5,1097.6,20.1,23.8,-29.8,44.2,10.4,,,,,
2006,123.8,401.1,445.7,186.6,1157.3,-23.7,19.6,43.9,-0.7,16.3,,,,,
2007,210.3,313.7,322.9,228.9,1075.8,29.5,-6.4,4.2,21.9,8.1,,,,,
2008,202.5,248.6,278.8,228.8,958.7,24.7,-25.8,-10.0,21.8,-3.7,,,,,
2009,66.3,413.4,190.1,125.7,795.5,-59.2,23.3,-38.6,-33.1,-20.1,,,,,
2010,120.9,375.2,323.5,209.2,1028.9,-25.4,12.2,4.7,11.8,3.6,,,,,
2011,187.1,296.0,296.1,239.7,1068.7,14.0,-8.8,13.3,32.2,9.6,,,,,
2012,99.3,311.9,305.5,218.2,934.9,-39.5,-3.9,0.1,20.3,-4.1,,,,,
2013,275.9,437.6,299.2,180.7,1193.4,68.1,34.8,-2.0,-0.4,22.4,,,,,
2014,64.6,358.5,256.4,201.1,880.5,-60.6,10.6,-15.9,11.0,-9.6,,,,,
2015,204.5,267.9,204.8,141.8,818.9,24.4,-17.5,-32.9,-21.8,-16.0,,,,,
